Organ,0000,0002,0003,0005,0006,0007,0008,0009,0010,0012,0013,0015,0016,0017,0018,0019,0020,0021,0022,0023,0024
Aorta,0.0,0.0,0.0,0.0,0.0,0.6721083521842957,0.0,0.0,0.7606080770492554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colon cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4618423122626084,0.0,0.0,0.0,0.0,0.0,0.0
Esophagus,0.0,0.2888876092717207,0.0,0.0,0.0,0.3387086341778437,0.0,0.0,0.5158119618892669,0.0,0.2856187900528312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gallbladder,0.0,0.3871658351272344,0.0,0.0,0.0,0.3502700005968411,0.0,0.1364869922399521,0.6073218524456024,0.0,0.3852056659758091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inferior vena cava,0.0,0.4784622744579489,0.0,0.0,0.0,0.5541394203901291,0.0,0.0,0.7317443192005157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left adrenal gland,0.0,0.2456341919799645,0.0,0.0,0.0,0.2264913643399874,0.0,0.0,0.3415670171380043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Left kidney,0.0,0.5936025384192666,0.0,0.0,0.0,0.7718717654546102,0.0,0.0,0.8616215765476227,0.0,0.6632111102342606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver,0.9402105808258056,0.8161495837072531,0.9028338617086412,0.0,0.0,0.871222178141276,0.0,0.8163494318723679,0.919235461950302,0.8524184791105134,0.8070154219865799,0.0,0.9409916400909424,0.0,0.0,0.0,0.8607658633479366,0.0,0.0,0.0,0.0
Liver tumor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2952053621411324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lung tumor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pancreas,0.0,0.3585945466378082,0.5479360190033913,0.0,0.0,0.4116731286048889,0.5586187155807719,0.0,0.6141654938459397,0.0,0.3130832383409142,0.0,0.0,0.2889263016336104,0.0,0.0,0.0,0.0,0.5514541304948037,0.0,0.0
Portal/splenic vein,0.0,0.0,0.0,0.0,0.0,0.2071676577130953,0.0,0.3151982501149177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right adrenal gland,0.0,0.2807566379196942,0.0,0.0,0.0,0.2653441019356251,0.0,0.0,0.2712642334401607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Right kidney,0.0,0.6049910079066952,0.0,0.0,0.0,0.7567283014456431,0.0,0.0,0.8665290534496307,0.0,0.7101321160793305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spleen,0.0,0.543143946522226,0.8116611152514815,0.0,0.0,0.7884694437185923,0.0,0.2013582289218902,0.854773223400116,0.0,0.6600047994405032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8643706109788682,0.0
Stomach,0.0,0.4510572327611347,0.0,0.0,0.0,0.5065444906552633,0.0,0.0,0.6998988866806031,0.0,0.5037526816129685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
